Training Settings: epochs=300, lr=0.0001, device=cuda
--------------------------------------------------
Epoch [143/300] | Dec Loss: 0.033457 | Enh Loss: 0.109083
Epoch [144/300] | Dec Loss: 0.033708 | Enh Loss: 0.108728
Epoch [145/300] | Dec Loss: 0.033421 | Enh Loss: 0.108718
Epoch [146/300] | Dec Loss: 0.033291 | Enh Loss: 0.108446
Epoch [147/300] | Dec Loss: 0.033423 | Enh Loss: 0.108636
Epoch [148/300] | Dec Loss: 0.033359 | Enh Loss: 0.108779
Epoch [149/300] | Dec Loss: 0.033219 | Enh Loss: 0.108568
Epoch [150/300] | Dec Loss: 0.033300 | Enh Loss: 0.108666
Epoch [151/300] | Dec Loss: 0.033265 | Enh Loss: 0.108739
Epoch [152/300] | Dec Loss: 0.033294 | Enh Loss: 0.108598
Epoch [153/300] | Dec Loss: 0.033404 | Enh Loss: 0.108893
Epoch [154/300] | Dec Loss: 0.033148 | Enh Loss: 0.108506
Epoch [155/300] | Dec Loss: 0.033388 | Enh Loss: 0.108550
Epoch [156/300] | Dec Loss: 0.033142 | Enh Loss: 0.108650
Epoch [157/300] | Dec Loss: 0.033245 | Enh Loss: 0.108664
Epoch [158/300] | Dec Loss: 0.033322 | Enh Loss: 0.108434
Epoch [159/300] | Dec Loss: 0.032988 | Enh Loss: 0.108489
Epoch [160/300] | Dec Loss: 0.032978 | Enh Loss: 0.108709
Epoch [161/300] | Dec Loss: 0.033110 | Enh Loss: 0.108245
Epoch [162/300] | Dec Loss: 0.033097 | Enh Loss: 0.108684
Epoch [163/300] | Dec Loss: 0.033216 | Enh Loss: 0.108506
Epoch [164/300] | Dec Loss: 0.033095 | Enh Loss: 0.108254
Epoch [165/300] | Dec Loss: 0.033106 | Enh Loss: 0.108384
Epoch [166/300] | Dec Loss: 0.033102 | Enh Loss: 0.108575
Epoch [167/300] | Dec Loss: 0.033131 | Enh Loss: 0.108659
Epoch [168/300] | Dec Loss: 0.033034 | Enh Loss: 0.108466
Epoch [169/300] | Dec Loss: 0.033129 | Enh Loss: 0.108600
Epoch [170/300] | Dec Loss: 0.033009 | Enh Loss: 0.108513
Epoch [171/300] | Dec Loss: 0.033061 | Enh Loss: 0.108588
Epoch [172/300] | Dec Loss: 0.032749 | Enh Loss: 0.108478
Epoch [173/300] | Dec Loss: 0.033198 | Enh Loss: 0.108400
Epoch [174/300] | Dec Loss: 0.032800 | Enh Loss: 0.108625
Epoch [175/300] | Dec Loss: 0.033054 | Enh Loss: 0.108396
Epoch [176/300] | Dec Loss: 0.032860 | Enh Loss: 0.108522
Epoch [177/300] | Dec Loss: 0.033147 | Enh Loss: 0.108475
Epoch [178/300] | Dec Loss: 0.032826 | Enh Loss: 0.108421
Epoch [179/300] | Dec Loss: 0.033015 | Enh Loss: 0.108487
Epoch [180/300] | Dec Loss: 0.032861 | Enh Loss: 0.108617
Epoch [181/300] | Dec Loss: 0.032881 | Enh Loss: 0.108604
Epoch [182/300] | Dec Loss: 0.032793 | Enh Loss: 0.108541
Epoch [183/300] | Dec Loss: 0.033017 | Enh Loss: 0.108695
Epoch [184/300] | Dec Loss: 0.032942 | Enh Loss: 0.108420
Epoch [185/300] | Dec Loss: 0.032818 | Enh Loss: 0.108323
Epoch [186/300] | Dec Loss: 0.032865 | Enh Loss: 0.108290
Epoch [187/300] | Dec Loss: 0.032824 | Enh Loss: 0.107903
Epoch [188/300] | Dec Loss: 0.032768 | Enh Loss: 0.108361
Epoch [189/300] | Dec Loss: 0.032505 | Enh Loss: 0.108148
Epoch [190/300] | Dec Loss: 0.032746 | Enh Loss: 0.108149
Epoch [191/300] | Dec Loss: 0.032825 | Enh Loss: 0.108433
Epoch [192/300] | Dec Loss: 0.032719 | Enh Loss: 0.108110
Epoch [193/300] | Dec Loss: 0.032711 | Enh Loss: 0.108163
Epoch [194/300] | Dec Loss: 0.032684 | Enh Loss: 0.108395
Epoch [195/300] | Dec Loss: 0.032586 | Enh Loss: 0.107872
Epoch [196/300] | Dec Loss: 0.032658 | Enh Loss: 0.108484
Epoch [197/300] | Dec Loss: 0.032718 | Enh Loss: 0.108082
Epoch [198/300] | Dec Loss: 0.032800 | Enh Loss: 0.108342
Epoch [199/300] | Dec Loss: 0.032781 | Enh Loss: 0.108287
Epoch [200/300] | Dec Loss: 0.032591 | Enh Loss: 0.107948
Epoch [201/300] | Dec Loss: 0.032770 | Enh Loss: 0.108112
Epoch [202/300] | Dec Loss: 0.032692 | Enh Loss: 0.108019
Epoch [203/300] | Dec Loss: 0.032642 | Enh Loss: 0.108037
Epoch [204/300] | Dec Loss: 0.032648 | Enh Loss: 0.108203
Epoch [205/300] | Dec Loss: 0.032617 | Enh Loss: 0.108004
Epoch [206/300] | Dec Loss: 0.032731 | Enh Loss: 0.108043
Epoch [207/300] | Dec Loss: 0.032700 | Enh Loss: 0.108022
Epoch [208/300] | Dec Loss: 0.032593 | Enh Loss: 0.107963
Epoch [209/300] | Dec Loss: 0.032442 | Enh Loss: 0.108352
Epoch [210/300] | Dec Loss: 0.032682 | Enh Loss: 0.107928
Epoch [211/300] | Dec Loss: 0.032311 | Enh Loss: 0.107838
Epoch [212/300] | Dec Loss: 0.032438 | Enh Loss: 0.107706
Epoch [213/300] | Dec Loss: 0.032439 | Enh Loss: 0.108051
Epoch [214/300] | Dec Loss: 0.032591 | Enh Loss: 0.108050
Epoch [215/300] | Dec Loss: 0.032555 | Enh Loss: 0.107730
Epoch [216/300] | Dec Loss: 0.032589 | Enh Loss: 0.108032
Epoch [217/300] | Dec Loss: 0.032393 | Enh Loss: 0.107774
Epoch [218/300] | Dec Loss: 0.032652 | Enh Loss: 0.108075
Epoch [219/300] | Dec Loss: 0.032553 | Enh Loss: 0.107943
Epoch [220/300] | Dec Loss: 0.032260 | Enh Loss: 0.107821
Epoch [221/300] | Dec Loss: 0.032402 | Enh Loss: 0.107948
Epoch [222/300] | Dec Loss: 0.032469 | Enh Loss: 0.107857
Epoch [223/300] | Dec Loss: 0.032453 | Enh Loss: 0.107766
Epoch [224/300] | Dec Loss: 0.032368 | Enh Loss: 0.107623
Epoch [225/300] | Dec Loss: 0.032322 | Enh Loss: 0.107640
Epoch [226/300] | Dec Loss: 0.032312 | Enh Loss: 0.107869
Epoch [227/300] | Dec Loss: 0.032275 | Enh Loss: 0.107718
Epoch [228/300] | Dec Loss: 0.032203 | Enh Loss: 0.107771
Epoch [229/300] | Dec Loss: 0.032377 | Enh Loss: 0.107787
Epoch [230/300] | Dec Loss: 0.032279 | Enh Loss: 0.107865
Epoch [231/300] | Dec Loss: 0.032388 | Enh Loss: 0.107852
Epoch [232/300] | Dec Loss: 0.032358 | Enh Loss: 0.108041
Epoch [233/300] | Dec Loss: 0.032210 | Enh Loss: 0.107624
Epoch [234/300] | Dec Loss: 0.032343 | Enh Loss: 0.107550
Epoch [235/300] | Dec Loss: 0.032287 | Enh Loss: 0.107780
Epoch [236/300] | Dec Loss: 0.032222 | Enh Loss: 0.107788
Epoch [237/300] | Dec Loss: 0.032190 | Enh Loss: 0.107877
Epoch [238/300] | Dec Loss: 0.032230 | Enh Loss: 0.107733
Epoch [239/300] | Dec Loss: 0.032264 | Enh Loss: 0.107715
Epoch [240/300] | Dec Loss: 0.032283 | Enh Loss: 0.107693
Epoch [241/300] | Dec Loss: 0.032217 | Enh Loss: 0.107783
Epoch [242/300] | Dec Loss: 0.032115 | Enh Loss: 0.107505
Epoch [243/300] | Dec Loss: 0.032137 | Enh Loss: 0.107536
Epoch [244/300] | Dec Loss: 0.032269 | Enh Loss: 0.108030
Epoch [245/300] | Dec Loss: 0.032115 | Enh Loss: 0.107500
Epoch [246/300] | Dec Loss: 0.032301 | Enh Loss: 0.107977
Epoch [247/300] | Dec Loss: 0.032389 | Enh Loss: 0.107639
Epoch [248/300] | Dec Loss: 0.032240 | Enh Loss: 0.107674
Epoch [249/300] | Dec Loss: 0.032226 | Enh Loss: 0.107655
Epoch [250/300] | Dec Loss: 0.032260 | Enh Loss: 0.107554
Epoch [251/300] | Dec Loss: 0.032202 | Enh Loss: 0.107738
Epoch [252/300] | Dec Loss: 0.032134 | Enh Loss: 0.107724
Epoch [253/300] | Dec Loss: 0.032295 | Enh Loss: 0.107618
Epoch [254/300] | Dec Loss: 0.032039 | Enh Loss: 0.107549
Epoch [255/300] | Dec Loss: 0.032159 | Enh Loss: 0.107572
Epoch [256/300] | Dec Loss: 0.032306 | Enh Loss: 0.107648
Epoch [257/300] | Dec Loss: 0.032174 | Enh Loss: 0.107719
Epoch [258/300] | Dec Loss: 0.032120 | Enh Loss: 0.107370
Epoch [259/300] | Dec Loss: 0.032171 | Enh Loss: 0.107821
